START: śr. 15 lip 2026 14:50:36 CEST
00:00.259  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
00:00.645  render           | Rendering animation (frames 1..180)
00:00.645  render           | Rendering frame 1
00:00.645  render           | Start rendering: Scene, ViewLayer
00:00.645  render           | Engine: Cycles
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_0_m
Blender 5.1.2 (hash ec6e62d40fa9 built 2026-05-19 01:30:33)
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_1_i
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_0_m
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_2_o
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_1_i
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_2_o
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_3_d
00:01.398  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_4_u
00:01.399  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_5_s
00:01.400  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_6_z
00:01.400  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_5_s
00:01.400  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_6_z
00:01.400  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_7_e
00:01.400  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_8_w
00:01.401  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_9_s
00:01.402  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_8_w
00:01.402  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_10_k
00:01.403  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_11_y
00:01.404  render           | Fra: 1 | Mem: 0M | Synchronizing object | rim_r
00:01.404  render           | Fra: 1 | Mem: 0M | Synchronizing object | rim_l
00:01.404  render           | Fra: 1 | Mem: 0M | Synchronizing object | fill
00:01.404  render           | Fra: 1 | Mem: 0M | Synchronizing object | key
00:01.404  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_11_y
00:01.433  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_9_s
00:01.459  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_10_k
00:01.512  render           | Fra: 1 | Mem: 0M | Initializing
00:01.512  render           | Fra: 1 | Mem: 0M | Waiting for render to start
00:01.512  render           | Fra: 1 | Mem: 0M | Updating Scene
00:01.512  render           | Fra: 1 | Mem: 0M | Updating Shaders
00:01.512  render           | Fra: 1 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Procedurals
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Background
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Camera
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Meshes Flags
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Objects
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Objects | Copying Transformations to device
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Particle Systems
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Meshes
00:01.513  render           | Fra: 1 | Mem: 1M | Updating Objects | Applying Static Transformations
00:01.536  render           | Fra: 1 | Mem: 1M | Updating Mesh | Computing attributes
00:01.554  render           | Fra: 1 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:01.607  render           | Fra: 1 | Mem: 105M | Updating Scene BVH | Building
00:01.607  render           | Fra: 1 | Mem: 105M | Updating Scene BVH | Building BVH
00:01.651  render           | Fra: 1 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
00:01.901  render           | Fra: 1 | Mem: 1325M | Updating Scene BVH | Building BVH 8%
00:02.151  render           | Fra: 1 | Mem: 1615M | Updating Scene BVH | Building BVH 25%
00:02.401  render           | Fra: 1 | Mem: 1923M | Updating Scene BVH | Building BVH 43%
00:02.651  render           | Fra: 1 | Mem: 2313M | Updating Scene BVH | Building BVH 66%
00:02.901  render           | Fra: 1 | Mem: 2687M | Updating Scene BVH | Building BVH 88%
00:03.054  render           | Fra: 1 | Mem: 2903M | Updating Scene BVH | Copying BVH to device
00:03.054  render           | Fra: 1 | Mem: 2903M | Updating Mesh | Computing normals
00:03.055  render           | Fra: 1 | Mem: 2903M | Updating Mesh | Copying Mesh to device
00:03.055  render           | Fra: 1 | Mem: 2906M | Updating Mesh | Copying Curves to device
00:03.222  render           | Fra: 1 | Mem: 3420M | Updating Objects Flags
00:03.222  render           | Fra: 1 | Mem: 3420M | Updating Primitive Offsets
00:03.223  render           | Fra: 1 | Mem: 3420M | Updating Images
00:03.223  render           | Fra: 1 | Mem: 3420M | Updating Volume
00:03.223  render           | Fra: 1 | Mem: 3420M | Updating Camera Volume
00:03.223  render           | Fra: 1 | Mem: 3420M | Updating Lookup Tables
00:03.223  render           | Fra: 1 | Mem: 3420M | Updating Lights
00:03.223  render           | Fra: 1 | Mem: 3420M | Updating Lights | Computing tree
00:03.223  render           | Fra: 1 | Mem: 3420M | Updating Integrator
00:03.223  render           | Fra: 1 | Mem: 3421M | Updating Film
00:03.224  render           | Fra: 1 | Mem: 3421M | Updating Lookup Tables
00:03.224  render           | Fra: 1 | Mem: 3421M | Updating Baking
00:03.224  render           | Fra: 1 | Mem: 3421M | Updating Device | Writing constant memory
00:03.225  render           | Fra: 1 | Mem: 3421M | Loading denoising kernels (may take a few minutes the first time)
00:03.225  render           | Fra: 1 | Mem: 3421M | Sample 0/128
00:04.766  render           | Fra: 1 | Remaining: 03:15.78 | Mem: 3496M | Sample 1/128
00:24.590  render           | Fra: 1 | Remaining: 02:19.50 | Mem: 3496M | Sample 17/128
00:45.029  render           | Fra: 1 | Remaining: 02:00.34 | Mem: 3496M | Sample 33/128
01:06.233  render           | Fra: 1 | Remaining: 01:41.58 | Mem: 3496M | Sample 49/128
01:28.121  render           | Fra: 1 | Remaining: 01:22.28 | Mem: 3496M | Sample 65/128
01:48.672  render           | Fra: 1 | Remaining: 01:03.26 | Mem: 3496M | Sample 80/128
02:11.070  render           | Fra: 1 | Remaining: 00:42.61 | Mem: 3496M | Sample 96/128
02:34.672  render           | Fra: 1 | Remaining: 00:21.63 | Mem: 3496M | Sample 112/128
03:00.468  render           | Fra: 1 | Mem: 3496M | Sample 128/128
03:00.471  render           | Fra: 1 | Mem: 3496M | Finished
03:00.607  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0001.png'
03:00.607  render           | Time: 02:59.96 (Saving: 00:00.04)
03:00.607  render           | Rendering frame 2
03:00.609  render           | Start rendering: Scene, ViewLayer
03:00.609  render           | Engine: Cycles
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_0_m
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_1_i
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_0_m
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_2_o
03:01.493  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_1_i
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_2_o
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_3_d
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_4_u
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_5_s
03:01.494  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_6_z
03:01.495  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_7_e
03:01.496  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_8_w
03:01.496  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_9_s
03:01.497  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_8_w
03:01.497  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_10_k
03:01.497  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_11_y
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | rim_r
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | rim_l
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | fill
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | key
03:01.498  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_11_y
03:01.533  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_9_s
03:01.565  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_10_k
03:01.641  render           | Fra: 2 | Mem: 0M | Initializing
03:01.642  render           | Fra: 2 | Mem: 0M | Waiting for render to start
03:01.642  render           | Fra: 2 | Mem: 0M | Updating Scene
03:01.642  render           | Fra: 2 | Mem: 0M | Updating Shaders
03:01.642  render           | Fra: 2 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Procedurals
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Background
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Camera
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Meshes Flags
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Objects
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Objects | Copying Transformations to device
03:01.643  render           | Fra: 2 | Mem: 1M | Updating Particle Systems
