START: pt. 17 lip 2026 10:58:46 CEST
00:00.254  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
00:00.609  render           | Rendering animation (frames 1..180)
00:00.609  render           | Rendering frame 1
00:00.609  render           | Start rendering: Scene, ViewLayer
00:00.609  render           | Engine: Cycles
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_0_m
Blender 5.1.2 (hash ec6e62d40fa9 built 2026-05-19 01:30:33)
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_1_i
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_0_m
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_2_o
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_1_i
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_3_d
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_2_o
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_4_u
00:01.371  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_3_d
00:01.372  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_4_u
00:01.372  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_5_s
00:01.372  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_6_z
00:01.372  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_7_e
00:01.372  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_8_w
00:01.372  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_7_e
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_9_s
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_10_k
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_11_y
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_8_w
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | rim_r
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | rim_l
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | fill
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | key
00:01.373  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_11_y
00:01.403  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_9_s
00:01.448  render           | Fra: 1 | Mem: 0M | Synchronizing object | L_10_k
00:01.503  render           | Fra: 1 | Mem: 0M | Initializing
00:01.504  render           | Fra: 1 | Mem: 0M | Waiting for render to start
00:01.504  render           | Fra: 1 | Mem: 0M | Updating Scene
00:01.504  render           | Fra: 1 | Mem: 0M | Updating Shaders
00:01.504  render           | Fra: 1 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Procedurals
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Background
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Camera
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Meshes Flags
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Objects
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Objects | Copying Transformations to device
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Particle Systems
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Meshes
00:01.504  render           | Fra: 1 | Mem: 1M | Updating Objects | Applying Static Transformations
00:01.527  render           | Fra: 1 | Mem: 1M | Updating Mesh | Computing attributes
00:01.543  render           | Fra: 1 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:01.596  render           | Fra: 1 | Mem: 105M | Updating Scene BVH | Building
00:01.596  render           | Fra: 1 | Mem: 105M | Updating Scene BVH | Building BVH
00:01.636  render           | Fra: 1 | Mem: 565M | Updating Scene BVH | Building BVH 0%
00:01.886  render           | Fra: 1 | Mem: 1223M | Updating Scene BVH | Building BVH 1%
00:02.136  render           | Fra: 1 | Mem: 1589M | Updating Scene BVH | Building BVH 23%
00:02.387  render           | Fra: 1 | Mem: 1987M | Updating Scene BVH | Building BVH 47%
00:02.637  render           | Fra: 1 | Mem: 2363M | Updating Scene BVH | Building BVH 69%
00:02.887  render           | Fra: 1 | Mem: 2693M | Updating Scene BVH | Building BVH 88%
00:03.028  render           | Fra: 1 | Mem: 2905M | Updating Scene BVH | Copying BVH to device
00:03.028  render           | Fra: 1 | Mem: 2905M | Updating Mesh | Computing normals
00:03.028  render           | Fra: 1 | Mem: 2905M | Updating Mesh | Copying Mesh to device
00:03.028  render           | Fra: 1 | Mem: 2908M | Updating Mesh | Copying Curves to device
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Objects Flags
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Primitive Offsets
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Images
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Volume
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Camera Volume
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Lookup Tables
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Lights
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Lights | Computing tree
00:03.173  render           | Fra: 1 | Mem: 3422M | Updating Integrator
00:03.173  render           | Fra: 1 | Mem: 3423M | Updating Film
00:03.173  render           | Fra: 1 | Mem: 3423M | Updating Lookup Tables
00:03.173  render           | Fra: 1 | Mem: 3423M | Updating Baking
00:03.173  render           | Fra: 1 | Mem: 3423M | Updating Device | Writing constant memory
00:03.174  render           | Fra: 1 | Mem: 3423M | Sample 0/256
00:04.506  render           | Fra: 1 | Remaining: 05:39.68 | Mem: 3459M | Sample 1/256
00:23.797  render           | Fra: 1 | Remaining: 04:49.94 | Mem: 3459M | Sample 17/256
01:04.254  render           | Fra: 1 | Remaining: 04:18.03 | Mem: 3459M | Sample 49/256
01:44.797  render           | Fra: 1 | Remaining: 03:43.57 | Mem: 3459M | Sample 80/256
02:06.079  render           | Fra: 1 | Remaining: 03:24.84 | Mem: 3459M | Sample 96/256
02:27.698  render           | Fra: 1 | Remaining: 03:05.81 | Mem: 3459M | Sample 112/256
02:49.402  render           | Fra: 1 | Remaining: 02:46.22 | Mem: 3459M | Sample 128/256
03:11.272  render           | Fra: 1 | Remaining: 02:26.29 | Mem: 3459M | Sample 144/256
03:33.364  render           | Fra: 1 | Remaining: 02:06.11 | Mem: 3459M | Sample 160/256
03:55.437  render           | Fra: 1 | Remaining: 01:45.57 | Mem: 3459M | Sample 176/256
04:17.710  render           | Fra: 1 | Remaining: 01:24.84 | Mem: 3459M | Sample 192/256
04:40.233  render           | Fra: 1 | Remaining: 01:03.93 | Mem: 3459M | Sample 208/256
05:02.696  render           | Fra: 1 | Remaining: 00:42.78 | Mem: 3459M | Sample 224/256
05:25.781  render           | Fra: 1 | Remaining: 00:21.50 | Mem: 3459M | Sample 240/256
05:49.138  render           | Fra: 1 | Mem: 3459M | Sample 256/256
05:49.138  render           | Fra: 1 | Mem: 3459M | Finished
05:49.245  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0001.png'
05:49.245  render           | Time: 05:48.63 (Saving: 00:00.05)
05:49.245  render           | Rendering frame 2
05:49.247  render           | Start rendering: Scene, ViewLayer
05:49.247  render           | Engine: Cycles
05:50.191  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_0_m
05:50.192  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_1_i
05:50.192  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_2_o
05:50.192  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_3_d
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_4_u
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_5_s
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_4_u
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_5_s
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_6_z
05:50.193  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_7_e
05:50.194  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_8_w
05:50.195  render           | Fra: 2 | Mem: 0M | Synchronizing object | L_9_s
